Time Stamp,Confirmed,Recovered,Deaths,Samples Tested
2020-06-25T14:06:59.503475+05:30,12371,4651,222,66659
2020-06-25T14:08:03.148157+05:30,12372,4651,222,66670
2020-06-25T14:09:06.836878+05:30,12372,4651,222,66680
2020-06-25T14:10:32.998184+05:30,12372,4651,222,66695
2020-06-25T14:11:34.734694+05:30,12373,4651,222,66707
2020-06-25T14:12:36.438623+05:30,12374,4651,222,66718
2020-06-25T14:14:45.544550+05:30,12374,4651,223,66740
2020-06-25T14:15:47.289204+05:30,12374,4651,223,66753
2020-06-25T14:16:48.983146+05:30,12374,4651,223,66767
2020-06-25T14:17:50.650679+05:30,12374,4651,223,66776
2020-06-25T14:18:52.337666+05:30,12377,4651,223,66790
2020-06-25T14:19:54.082255+05:30,12378,4651,223,66805
2020-06-25T14:20:56.780191+05:30,12378,4651,223,66812
2020-06-25T14:21:58.488531+05:30,12378,4651,223,66819
2020-06-25T14:23:00.195582+05:30,12379,4651,223,66825
2020-06-25T14:24:01.918397+05:30,12380,4651,223,66828
2020-06-25T14:25:04.037491+05:30,12381,4651,223,66830
2020-06-25T14:26:06.165340+05:30,12382,4651,223,66833
2020-06-25T14:27:08.264729+05:30,12384,4651,223,66838
2020-06-25T14:28:10.366143+05:30,12385,4651,223,66844
2020-06-25T14:29:12.491708+05:30,12387,4651,223,66849
2020-06-25T14:30:14.625947+05:30,12391,4651,223,66856
2020-06-25T14:31:16.717642+05:30,12394,4651,223,66863
2020-06-25T14:32:18.811393+05:30,12399,4651,223,66872
2020-06-25T14:33:20.882705+05:30,12401,4651,223,66878
2020-06-25T14:34:22.993856+05:30,12404,4651,223,66886
2020-06-25T14:35:25.070328+05:30,12407,4651,223,66896
2020-06-25T14:36:27.167616+05:30,12409,4651,223,66901
2020-06-25T14:37:29.259875+05:30,12410,4651,223,66908
2020-06-25T14:38:31.345310+05:30,12410,4651,223,66914
2020-06-25T14:39:33.390852+05:30,12410,4651,223,66921
2020-06-25T14:40:35.536188+05:30,12410,4651,223,66927
2020-06-25T14:41:37.645332+05:30,12412,4651,223,66934
2020-06-25T14:42:39.726760+05:30,12413,4651,223,66941
2020-06-25T14:43:41.802897+05:30,12416,4651,223,66953
2020-06-25T14:44:43.871334+05:30,12417,4651,223,66961
2020-06-25T14:45:46.006015+05:30,12417,4651,223,66970
2020-06-25T14:46:48.128306+05:30,12418,4651,223,66975
2020-06-25T14:47:50.235430+05:30,12420,4651,223,66985
